# Milepost, Milepost Feet, Sync Count, Sync Sample, Speed, Linecode, Division Code, SubDivision Code, Track Class, Posted Speed, Track Number, Gradient, ALD, L Surface 31, L Surface 62, L Surface 124, R Surface 31, R Surface 62, R Surface 124, L Alignment 31, L Alignment 62, L Alignment 124, R Alignment 31, R Alignment 62, R Alignment 124, Gage, RESERVE, Crosslevel, Crosslevel rate, Curvature, Curvature rate, Curve Transition Status, Readj Curve Transition Status, ISR1, ISR2, Delayed time between samples, RC/62, L Profile short, R Profile short, L Profile space curve, R Profile space curve, L Alignment space curve, R Alignment space curve, Termiflex Status Bit, RC/20, RC/31, RC/55, L Alignment Raw S, L Alignment Raw M, R Alignment Raw S, R Alignment Raw M, L Comb AlignProf S, L Comb AlignProf M, L Comb AlignProf L, R Comb AlignProf S, R Comb AlignProf M, R Comb AlignProf L, Latitude, Longitude
113, 2000, 0, 23, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.47113038, 57, 0, -0.1013183579, -0.03, -0.03, 0, 0, 0, 0, 19928, 0, 0, 0, 0, 0, 0, 0, 0, 0.06225585845, 0.01586914039, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232894, -104.1779942
113, 2001, 0, 24, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.48547364, 57, 0.01464843728, -0.08422851437, -0.03, -0.04, 0, 0, 0, 0, 19444, 0, 0, 0, 0, 0, 0, 0, 0, 0.06713867087, -0.004882812427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232862, -104.1779989
113, 2002, 0, 25, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.48394776, 57, 0.03295898388, -0.06591796777, -0.03, -0.04, 0, 0, 0, 0, 19009, 0, 0, 0, 0, 0, 0, 0, 0, 0.06958007709, -0.02929687456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232843, -104.1780036
113, 2003, 0, 26, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.47814942, 57, 0.0537109367, -0.04394531185, -0.03, -0.05, 0, 0, 0, 0, 18620, 0, 0, 0, 0, 0, 0, 0, 0, 0.06225585845, -0.04882812427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232824, -104.1780086
113, 2004, 0, 27, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.46868897, 57, 0.05859374913, -0.03784179631, -0.03, -0.06, 0, 0, 0, 0, 18281, 0, 0, 0, 0, 0, 0, 0, 0, 0.04272460874, -0.06103515534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.772328, -104.1780154
113, 2005, 0, 28, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.45220948, 57, 0.06225585845, -0.03295898388, -0.03, -0.06, 0, 0, 0, 0, 17953, 0, 0, 0, 0, 0, 0, 0, 0, 0.0170898435, -0.07080078019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232803, -104.1780183
113, 2006, 0, 29, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.43420411, 57, 0.05981445223, -0.03417968699, -0.03, -0.07, 0, 0, 0, 0, 17653, 0, 0, 0, 0, 0, 0, 0, 0, -0.009765624854, -0.07568359262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232784, -104.1780234
113, 2007, 0, 30, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.42016602, 57, 0.0537109367, -0.03906249942, -0.03, -0.06, 0, 0, 0, 0, 17353, 0, 0, 0, 0, 0, 0, 0, 0, -0.04516601495, -0.08178710816, 0.06713867087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232777, -104.1780253
113, 2008, 0, 31, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.41345216, 57, 0.04272460874, -0.04760742117, -0.03, -0.06, 0, 0, 0, 0, 17050, 0, 0, 0, 0, 0, 0, 0, 0, -0.07934570194, -0.08300781126, 0.1135253889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232749, -104.1780331
113, 2009, 0, 32, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.4204712, 57, 0.02319335903, -0.06713867087, -0.04, -0.06, 0, 0, 0, 0, 16789, 0, 0, 0, 0, 0, 0, 0, 0, -0.1159667951, -0.09521484233, 0.1562499977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232733, -104.1780366
113, 2010, 0, 33, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.42230225, 57.04943848, 0.00366210932, -0.08544921748, -0.04, -0.05, 0, 0, 0, 0, 16533, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1379394511, -0.1184082014, 0.1965332002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.7723272, -104.178042
113, 2011, 0, 34, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.40673829, 57.05096435, -0.01098632796, -0.1000976548, -0.04, -0.05, 0, 0, 0, 0, 16304, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1550292946, -0.1464843728, 0.228271481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232705, -104.1780464
113, 2012, 0, 35, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.38232423, 57.050354, -0.02929687456, -0.1171874983, -0.04, -0.04, 0, 0, 0, 0, 16094, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.159912107, -0.1684570287, 0.2563476524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232701, -104.1780503
113, 2013, 0, 36, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.35729981, 57.05065918, -0.04638671806, -0.1342773417, -0.04, -0.04, 0, 0, 0, 0, 15902, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1562499977, -0.1879882784, 0.274658199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232686, -104.1780547
113, 2014, 0, 37, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.35577394, 57.05218506, -0.06103515534, -0.1477050759, -0.04, -0.03, 0, 0, 0, 0, 15707, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1525878884, -0.1782226536, 0.2722167928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232669, -104.1780588
113, 2015, 0, 38, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.3624878, 57.05187988, -0.07812499884, -0.1647949194, -0.04, -0.02, 0, 0, 0, 0, 15494, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1428222635, -0.1623535132, 0.2661132773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.7723265, -104.1780618
113, 2016, 0, 39, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.3725586, 57.0479126, -0.09155273301, -0.1770019505, -0.04, -0.01, 0, 0, 0, 0, 15271, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1354980449, -0.1428222635, 0.2526855431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232645, -104.1780638
113, 2017, 0, 40, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.39300538, 57.04119873, -0.1000976548, -0.1855468722, -0.04, 0, 0, 0, 0, 0, 15046, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.1245117169, -0.1245117169, 0.240478512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232616, -104.1780721
113, 2018, 0, 41, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.40704347, 57.03509521, -0.102539061, -0.1879882784, -0.04, 0.01, 0, 0, 0, 0, 14799, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.102539061, -0.09643554544, 0.2319335903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232599, -104.1780765
113, 2019, 0, 42, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.41711427, 57.03204346, -0.1086425765, -0.1928710909, -0.04, 0.02, 0, 0, 0, 0, 14581, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.0720214833, -0.05004882738, 0.2148437468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232599, -104.1780796
113, 2020, 0, 43, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.42657472, 57.02990723, -0.1184082014, -0.2038574188, -0.04, 0.03, 0, 0, 0, 0, 14353, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.0366210932, -0.01342773417, 0.1855468722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.7723258, -104.1780824
113, 2021, 0, 44, 4, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.5, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.43664552, 57.02807617, -0.1306152324, -0.2136230437, -0.04, 0.04, 0, 0, 0, 0, 14142, 0.4028320252, 0, 0, 0, 0, 0, 0, 0, -0.00366210932, 0.03784179631, 0.1574707008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232577, -104.1780864
